gn_code;douanerecht;type_duty
2008119600;12.000 %;DUT 3TH
2008119800;12.800 %;DUT 3TH
2008191280;7.000 %;DUT 3TH
2008191380;9.000 %;DUT 3TH
2008191930;11.200 %;DUT 3TH
2008191941;11.200 %;DUT 3TH
2008191980;11.200 %;DUT 3TH
2008199200;8.000 %;DUT 3TH
2008199280;8.000 %;DUT 3TH
2008199300;10.200 %;DUT 3TH
2008199320;10.200 %;DUT 3TH
2008199380;10.200 %;DUT 3TH
2008199500;12.000 %;DUT 3TH
2008199520;12.000 %;DUT 3TH
2008199540;12.000 %;DUT 3TH
2008199580;12.000 %;DUT 3TH
2008199930;12.800 %;DUT 3TH
2008199940;12.800 %;DUT 3TH
2008199980;12.800 %;DUT 3TH
2008205100;19.200 %;DUT 3TH
2008205900;17.600 %;DUT 3TH
2008207100;20.800 %;DUT 3TH
2008207900;19.200 %;DUT 3TH
2008303900;25.600 %;DUT 3TH
2008305100;15.200 %;DUT 3TH
2008305590;18.400 %;DUT 3TH
2008309000;18.400 %;DUT 3TH
2008309079;18.400 %;DUT 3TH
2008405900;16.000 %;DUT 3TH
2008407900;17.600 %;DUT 3TH
2008409000;16.800 %;DUT 3TH
2008506190;19.200 %;DUT 3TH
2008509200;13.600 %;DUT 3TH
2008509290;13.600 %;DUT 3TH
2008509899;18.400 %;DUT 3TH
2008601100;25.600 %;DUT 3TH
2008609000;18.400 %;DUT 3TH
2008706100;19.200 %;DUT 3TH
2008709800;18.400 %;DUT 3TH
2008809000;18.400 %;DUT 3TH
2008809090;18.400 %;DUT 3TH
2008939390;20.800 %;DUT 3TH
2008971600;16.000 % + 2.600 EUR DTN;DUT 3TH
2008971800;25.600 % + 4.200 EUR DTN;DUT 3TH
2008975100;11.000 %;DUT 3TH
2008979390;18.400 %;DUT 3TH
2008979890;18.400 %;DUT 3TH
2008993100;16.000 % + 2.600 EUR DTN;DUT 3TH
2008994090;25.600 %;DUT 3TH
2008994390;19.200 %;DUT 3TH
2008994894;11.000 %;DUT 3TH
2008994899;11.000 %;DUT 3TH
2008994899;11.000 %;DUT 3TH
2008994980;17.600 %;DUT 3TH
2008996300;13.000 %;DUT 3TH
2008996390;13.000 %;DUT 3TH
2008996799;20.800 %;DUT 3TH
2008998500;5.100 % + 9.400 EUR DTN E;DUT 3TH
2008999100;8.300 % + 3.800 EUR DTN E;DUT 3TH
2008999190;8.300 % + 3.800 EUR DTN E;DUT 3TH
2008999900;18.400 %;DUT 3TH
2008999935;18.400 %;DUT 3TH
2008999960;18.400 %;DUT 3TH
2008999979;18.400 %;DUT 3TH
2008999990;18.400 %;DUT 3TH
2009111900;33.600 %;DUT 3TH
2009120010;12.200 %;DUT 3TH
2009120090;12.200 %;DUT 3TH
2009191919;33.600 %;DUT 3TH
2009199819;12.200 %;DUT 3TH
2009199899;12.200 %;DUT 3TH
2009210000;12.000 %;DUT 3TH
2009299910;12.000 %;DUT 3TH
2009311100;14.400 %;DUT 3TH
2009311919;15.200 %;DUT 3TH
2009315190;14.400 %;DUT 3TH
2009315990;15.200 %;DUT 3TH
2009393919;15.200 %;DUT 3TH
2009509000;16.800 %;DUT 3TH
2009611000;"Cond: V 42.500 EUR/HLT(01):22.400 % ; V 41.700 EUR/HLT(01):22.400 % + 0.800 EUR HLT ; V 40.800 EUR/HLT(01):22.400 % + 1.700 EUR HLT ; V 40.000 EUR/HLT(01):22.400 % + 2.500 EUR HLT ; V 39.100 EUR/HLT(01):22.400 % + 3.400 EUR HLT ; V 0.000 EUR/HLT(01):22.400 % + 27.000 EUR HLT";DUT 3TH
2009611000;"Cond: V 42.500 EUR/HLT(01):22.400 % ; V 41.700 EUR/HLT(01):22.400 % + 0.800 EUR HLT ; V 40.800 EUR/HLT(01):22.400 % + 1.700 EUR HLT ; V 40.000 EUR/HLT(01):22.400 % + 2.500 EUR HLT ; V 39.100 EUR/HLT(01):22.400 % + 3.400 EUR HLT ; V 0.000 EUR/HLT(01):22.400 % + 27.000 EUR HLT";DUT 3TH
2009619000;22.400 % + 27.000 EUR HLT;DUT 3TH
2009619010;22.400 % + 27.000 EUR HLT;DUT 3TH
2009691199;40.000 % + 121.000 EUR HLT + 20.600 EUR DTN;DUT 3TH
2009719990;18.000 %;DUT 3TH
2009791990;30.000 %;DUT 3TH
2009799890;18.000 %;DUT 3TH
2009893690;21.000 %;DUT 3TH
2009893800;33.600 %;DUT 3TH
2009893899;33.600 %;DUT 3TH
2009897313;10.500 %;DUT 3TH
2009897999;16.800 %;DUT 3TH
2009898699;16.800 % + 20.600 EUR DTN;DUT 3TH
2009898800;10.500 %;DUT 3TH
2009898890;10.500 %;DUT 3TH
2009898900;16.800 %;DUT 3TH
2009899729;11.000 %;DUT 3TH
2009899799;11.000 %;DUT 3TH
2009899900;17.600 %;DUT 3TH
2009899994;17.600 %;DUT 3TH
2009899996;17.600 %;DUT 3TH
2009899999;17.600 %;DUT 3TH
2009901900;33.600 %;DUT 3TH
2009902900;33.600 %;DUT 3TH
2009903900;20.000 %;DUT 3TH
2009905180;16.800 %;DUT 3TH
2009905990;17.600 %;DUT 3TH
2009909200;10.500 % + 12.900 EUR DTN;DUT 3TH
2009909480;16.800 % + 20.600 EUR DTN;DUT 3TH
2009909600;16.800 %;DUT 3TH
2009909620;16.800 %;DUT 3TH
2009909680;16.800 %;DUT 3TH
2009909820;17.600 %;DUT 3TH
2009909880;17.600 %;DUT 3TH
2009909880;17.600 %;DUT 3TH
2101110000;9.000 %;DUT 3TH
2101129299;11.500 %;DUT 3TH
2101129899;9.000 % + EA;DUT 3TH
2101202000;6.000 %;DUT 3TH
2101209299;6.000 %;DUT 3TH
2101209899;6.500 % + EA;DUT 3TH
2101309900;10.800 % + 22.700 EUR DTN;DUT 3TH
2102101010;10.900 %;DUT 3TH
2102103100;12.000 %;DUT 3TH
2102103900;12.000 %;DUT 3TH
2102109000;14.700 %;DUT 3TH
2102109090;14.700 %;DUT 3TH
2102201100;8.300 %;DUT 3TH
2102201910;5.100 %;DUT 3TH
2102209000;0.000 %;DUT 3TH
2102300000;6.100 %;DUT 3TH
2103100000;7.700 %;DUT 3TH
2103200000;10.200 %;DUT 3TH
2103309090;9.000 %;DUT 3TH
2103901000;0.000 %;DUT 3TH
2103909000;7.700 %;DUT 3TH
2103909010;7.700 %;DUT 3TH
2103909011;7.700 %;DUT 3TH
2103909019;7.700 %;DUT 3TH
2103909080;7.700 %;DUT 3TH
2103909080;7.700 %;DUT 3TH
2103909081;7.700 %;DUT 3TH
2103909089;7.700 %;DUT 3TH
2104100019;11.500 %;DUT 3TH
2104100081;11.500 %;DUT 3TH
2104100089;11.500 %;DUT 3TH
2104100090;11.500 %;DUT 3TH
2104200090;14.100 %;DUT 3TH
2105001000;8.600 % + 20.200 EUR DTN MAX 19.400 % + 9.400 EUR DTN;DUT 3TH
2105009900;7.900 % + 54.000 EUR DTN MAX 17.800 % + 6.900 EUR DTN;DUT 3TH
2106102000;12.800 %;DUT 3TH
2106102090;12.800 %;DUT 3TH
2106108031;0.000 % + EA;DUT 3TH
2106108039;0.000 % + EA;DUT 3TH
2106108070;0.000 % + EA;DUT 3TH
2106902090;17.300 % MIN 1.000 EUR ASV X;DUT 3TH
2106905500;20.000 EUR DTN;DUT 3TH
2106905510;20.000 EUR DTN;DUT 3TH
2106905900;0.400 EUR DTN Z;DUT 3TH
2106905910;0.400 EUR DTN Z;DUT 3TH
2106909240;12.800 %;DUT 3TH
2106909260;12.800 %;DUT 3TH
2106909265;12.800 %;DUT 3TH
2106909285;12.800 %;DUT 3TH
2106909800;9.000 % + EA;DUT 3TH
2106909838;9.000 % + EA;DUT 3TH
2106909843;9.000 % + EA;DUT 3TH
2106909849;9.000 % + EA;DUT 3TH
2106909853;9.000 % + EA;DUT 3TH
2106909855;9.000 % + EA;DUT 3TH
2106909855;9.000 % + EA;DUT 3TH
2106909869;9.000 % + EA;DUT 3TH
2201101100;0.000 %;DUT 3TH
2201101900;0.000 %;DUT 3TH
2201109000;0.000 %;DUT 3TH
2201900000;0.000 %;DUT 3TH
2202100000;9.600 %;DUT 3TH
2202100000;9.600 %;DUT 3TH
2202910000;9.600 %;DUT 3TH
2202910010;9.600 %;DUT 3TH
2202910090;9.600 %;DUT 3TH
2202991100;9.600 %;DUT 3TH
2202991119;9.600 %;DUT 3TH
2202991500;9.600 %;DUT 3TH
2202991900;9.600 %;DUT 3TH
2202991911;9.600 %;DUT 3TH
2202991919;9.600 %;DUT 3TH
2202991999;9.600 %;DUT 3TH
2202999100;6.400 % + 13.700 EUR DTN;DUT 3TH
2202999110;6.400 % + 13.700 EUR DTN;DUT 3TH
2202999190;6.400 % + 13.700 EUR DTN;DUT 3TH
2202999500;5.500 % + 12.100 EUR DTN;DUT 3TH
2202999900;5.400 % + 21.200 EUR DTN;DUT 3TH
2202999990;5.400 % + 21.200 EUR DTN;DUT 3TH
2203000100;0.000 %;DUT 3TH
2203000900;0.000 %;DUT 3TH
2203001000;0.000 %;DUT 3TH
2204101100;32.000 EUR HLT;DUT 3TH
2204101500;32.000 EUR HLT;DUT 3TH
2204109100;32.000 EUR HLT;DUT 3TH
2204109400;32.000 EUR HLT;DUT 3TH
2204109800;32.000 EUR HLT;DUT 3TH
2204210700;32.000 EUR HLT;DUT 3TH
2204210900;32.000 EUR HLT;DUT 3TH
2204211110;13.100 EUR HLT;DUT 3TH
2204213690;15.400 EUR HLT;DUT 3TH
2204213890;15.400 EUR HLT;DUT 3TH
2204214290;15.400 EUR HLT;DUT 3TH
2204216690;15.400 EUR HLT;DUT 3TH
2204217890;15.400 EUR HLT;DUT 3TH
2204218990;15.800 EUR HLT;DUT 3TH
2204219351;1.750 EUR ASV X;DUT 3TH
2204219495;1.750 EUR ASV X;DUT 3TH
2204219621;15.400 EUR HLT;DUT 3TH
2204219671;15.400 EUR HLT;DUT 3TH
2204219681;18.600 EUR HLT;DUT 3TH
2204219695;1.750 EUR ASV X;DUT 3TH
2204219811;13.100 EUR HLT;DUT 3TH
2204219821;15.400 EUR HLT;DUT 3TH
2204219895;1.750 EUR ASV X;DUT 3TH
2204222210;9.900 EUR HLT;DUT 3TH
2204301000;32.000 %;DUT 3TH
2206003900;19.200 EUR HLT;DUT 3TH
2206008100;5.760 EUR HLT;DUT 3TH
2206008900;5.760 EUR HLT;DUT 3TH
2207200000;10.200 EUR HLT;DUT 3TH
2207200090;10.200 EUR HLT;DUT 3TH
2208201200;0.000 %;DUT 3TH
2208201800;0.000 %;DUT 3TH
2208202800;0.000 %;DUT 3TH
2208206600;0.000 %;DUT 3TH
2208303000;0.000 %;DUT 3TH
2208304900;0.000 %;DUT 3TH
2208306100;0.000 %;DUT 3TH
2208307100;0.000 %;DUT 3TH
2208307900;0.000 %;DUT 3TH
2208308200;0.000 %;DUT 3TH
2208308800;0.000 %;DUT 3TH
2208403100;0.000 %;DUT 3TH
2208403900;0.600 EUR ASV X + 3.200 EUR HLT;DUT 3TH
2208409900;0.600 EUR ASV X;DUT 3TH
2208501100;0.000 %;DUT 3TH
2208501900;0.000 %;DUT 3TH
2208601100;0.000 %;DUT 3TH
2208601900;0.000 %;DUT 3TH
2208609100;0.000 %;DUT 3TH
2208701000;0.000 %;DUT 3TH
2208709000;0.000 %;DUT 3TH
2208904800;0.000 %;DUT 3TH
2208906900;0.000 %;DUT 3TH
2208907800;0.000 %;DUT 3TH
2208909919;1.000 EUR ASV X;DUT 3TH
2208909990;1.000 EUR ASV X;DUT 3TH
2209009100;5.120 EUR HLT;DUT 3TH
2209009900;3.840 EUR HLT;DUT 3TH
2301100000;0.000 %;DUT 3TH
2302101000;44.000 EUR TNE;DUT 3TH
2302109000;89.000 EUR TNE;DUT 3TH
2302309000;89.000 EUR TNE;DUT 3TH
2302400800;89.000 EUR TNE;DUT 3TH
2302409000;89.000 EUR TNE;DUT 3TH
2303201000;0.000 %;DUT 3TH
2303201000;"Cond: B cert: Y-155 (01):50.000 % ; B (01):0.000 %";DUT 3TH
2303209000;0.000 %;DUT 3TH
2303209000;"Cond: B cert: Y-155 (01):50.000 % ; B (01):0.000 %";DUT 3TH
2303300000;0.000 %;DUT 3TH
2304000000;0.000 %;DUT 3TH
2306200000;0.000 %;DUT 3TH
2306410000;0.000 %;DUT 3TH
2306909000;0.000 %;DUT 3TH
2308009000;"Cond: B cert: Y-155 (01):50.000 % ; B (01):1.600 %";DUT 3TH
2309101100;0.000 %;DUT 3TH
2309101300;498.000 EUR TNE;DUT 3TH
2309101500;730.000 EUR TNE;DUT 3TH
2309103100;0.000 %;DUT 3TH
2309103300;530.000 EUR TNE;DUT 3TH
2309107000;948.000 EUR TNE;DUT 3TH
2309109000;9.600 %;DUT 3TH
2309901000;3.800 %;DUT 3TH
2309902000;0.000 %;DUT 3TH
2309903149;23.000 EUR TNE;DUT 3TH
2309903159;"Cond: B cert: Y-155 (01):50.000 % ; B (01):23.000 EUR TNE";DUT 3TH
2309903191;23.000 EUR TNE;DUT 3TH
2309903191;"Cond: B cert: Y-155 (01):50.000 % ; B (01):23.000 EUR TNE";DUT 3TH
2309904100;55.000 EUR TNE;DUT 3TH
2309905100;102.000 EUR TNE;DUT 3TH
2309905100;"Cond: B cert: Y-155 (01):50.000 % ; B (01):102.000 EUR TNE";DUT 3TH
2309909600;50.000 %;DUT 3TH
2309909600;9.600 %;DUT 3TH
2309909600;"Cond: B cert: Y-155 (01):50.000 % ; B (01):9.600 %";DUT 3TH
2309909639;9.600 %;DUT 3TH
2309909695;9.600 %;DUT 3TH
2401106000;11.200 % MIN 22.000 EUR DTN MAX 56.000 EUR DTN;DUT 3TH
2401109599;10.000 % MIN 22.000 EUR DTN MAX 56.000 EUR DTN;DUT 3TH
2401203510;18.400 % MIN 22.000 EUR DTN MAX 24.000 EUR DTN;DUT 3TH
2401203599;11.200 % MIN 22.000 EUR DTN MAX 56.000 EUR DTN;DUT 3TH
2401206000;11.200 % MIN 22.000 EUR DTN MAX 56.000 EUR DTN;DUT 3TH
2401207090;11.200 % MIN 22.000 EUR DTN MAX 56.000 EUR DTN;DUT 3TH
2401208510;18.400 % MIN 22.000 EUR DTN MAX 24.000 EUR DTN;DUT 3TH
2401208590;11.200 % MIN 22.000 EUR DTN MAX 56.000 EUR DTN;DUT 3TH
2401300000;11.200 % MIN 22.000 EUR DTN MAX 56.000 EUR DTN;DUT 3TH
2403991000;41.600 %;DUT 3TH
2404120000;6.500 %;DUT 3TH
2404120010;6.500 %;DUT 3TH
2404120090;6.500 %;DUT 3TH
2501001000;0.000 %;DUT 3TH
2501003100;0.000 %;DUT 3TH
2501005110;1.700 EUR TNE;DUT 3TH
2501009100;2.600 EUR TNE;DUT 3TH
2501009900;2.600 EUR TNE;DUT 3TH
2501009900;2.600 EUR TNE;DUT 3TH
2502000000;0.000 %;DUT 3TH
2503009000;1.700 %;DUT 3TH
2504100000;0.000 %;DUT 3TH
2505100000;0.000 %;DUT 3TH
2505900000;0.000 %;DUT 3TH
2506200000;0.000 %;DUT 3TH
2507002000;0.000 %;DUT 3TH
2507008000;0.000 %;DUT 3TH
2508100000;0.000 %;DUT 3TH
2508300000;0.000 %;DUT 3TH
2508400000;0.000 %;DUT 3TH
2508500000;0.000 %;DUT 3TH
2508600000;0.000 %;DUT 3TH
2508700000;0.000 %;DUT 3TH
2509000000;0.000 %;DUT 3TH
2513100000;0.000 %;DUT 3TH
2514000000;0.000 %;DUT 3TH
2515110000;0.000 %;DUT 3TH
2515120000;0.000 %;DUT 3TH
2515120000;0.000 %;DUT 3TH
2515200000;0.000 %;DUT 3TH
2516110000;0.000 %;DUT 3TH
2516120000;0.000 %;DUT 3TH
2516200000;0.000 %;DUT 3TH
2516900000;0.000 %;DUT 3TH
2516900000;0.000 %;DUT 3TH
2516900000;0.000 %;DUT 3TH
2517101000;0.000 %;DUT 3TH
2517102000;0.000 %;DUT 3TH
2517108000;0.000 %;DUT 3TH
2517410000;0.000 %;DUT 3TH
2517490000;0.000 %;DUT 3TH
2519901010;1.700 %;DUT 3TH
2519903000;0.000 %;DUT 3TH
2519909000;0.000 %;DUT 3TH
2520100000;0.000 %;DUT 3TH
2520200000;0.000 %;DUT 3TH
2521000000;0.000 %;DUT 3TH
2522100000;1.700 %;DUT 3TH
2523100000;1.700 %;DUT 3TH
2523210000;1.700 %;DUT 3TH
2523290000;1.700 %;DUT 3TH
2523900000;1.700 %;DUT 3TH
2525200000;0.000 %;DUT 3TH
2526100000;0.000 %;DUT 3TH
2526200000;0.000 %;DUT 3TH
2526200000;0.000 %;DUT 3TH
2528000000;0.000 %;DUT 3TH
2529300000;0.000 %;DUT 3TH
2530100000;0.000 %;DUT 3TH
2530900000;0.000 %;DUT 3TH
2530900000;0.000 %;DUT 3TH
2530907000;0.000 %;DUT 3TH
2530907090;0.000 %;DUT 3TH
2602000000;0.000 %;DUT 3TH
2604000000;0.000 %;DUT 3TH
2606000000;0.000 %;DUT 3TH
2607000000;0.000 %;DUT 3TH
2608000000;0.000 %;DUT 3TH
2611000000;0.000 %;DUT 3TH
2615100000;0.000 %;DUT 3TH
2616100000;0.000 %;DUT 3TH
2616900090;0.000 %;DUT 3TH
2618000000;0.000 %;DUT 3TH
2620190000;0.000 %;DUT 3TH
2620210000;0.000 %;DUT 3TH
2620300000;0.000 %;DUT 3TH
2620400000;0.000 %;DUT 3TH
2620400000;0.000 %;DUT 3TH
2620999500;0.000 %;DUT 3TH
2621900000;0.000 %;DUT 3TH
2701110000;0.000 %;DUT 3TH
2701129000;0.000 %;DUT 3TH
2701190000;0.000 %;DUT 3TH
2703000000;0.000 %;DUT 3TH
2704009000;0.000 %;DUT 3TH
2707200000;3.000 %;DUT 3TH
2707300000;3.000 %;DUT 3TH
2709009000;0.000 %;DUT 3TH
2710121500;0.000 %;DUT 3TH
2710122100;4.700 %;DUT 3TH
2710122500;4.700 %;DUT 3TH
2710122590;4.700 %;DUT 3TH
2710122599;4.700 %;DUT 3TH
2710124900;4.700 %;DUT 3TH
2710129000;4.700 %;DUT 3TH
2710191500;0.000 %;DUT 3TH
2710192900;4.700 %;DUT 3TH
2710194229;0.000 %;DUT 3TH
2710194400;0.000 %;DUT 3TH
2710196200;3.500 %;DUT 3TH
2710198100;3.700 %;DUT 3TH
2710198190;3.700 %;DUT 3TH
2710198300;3.700 %;DUT 3TH
2710198500;3.700 %;DUT 3TH
2710198700;3.700 %;DUT 3TH
2710199100;3.700 %;DUT 3TH
2710199300;3.700 %;DUT 3TH
2710199900;3.700 %;DUT 3TH
2710199990;3.700 %;DUT 3TH
2710201629;0.000 %;DUT 3TH
2710201690;0.000 %;DUT 3TH
2710209000;3.700 %;DUT 3TH
2710990090;3.500 %;DUT 3TH
2711129700;0.700 %;DUT 3TH
2711139700;0.700 %;DUT 3TH
2711190000;0.000 %;DUT 3TH
2712101000;0.000 %;DUT 3TH
2712109000;2.200 %;DUT 3TH
2712201000;0.000 %;DUT 3TH
2712209000;2.200 %;DUT 3TH
2712909990;2.200 %;DUT 3TH
2713120000;0.000 %;DUT 3TH
2713200000;0.000 %;DUT 3TH
2714900000;0.000 %;DUT 3TH
2715000000;0.000 %;DUT 3TH
2801309000;5.500 %;DUT 3TH
2803000000;0.000 %;DUT 3TH
2804100000;3.700 %;DUT 3TH
2804210000;5.000 %;DUT 3TH
2804299000;5.000 %;DUT 3TH
2804300000;5.500 %;DUT 3TH
2804400000;5.000 %;DUT 3TH
2804610000;0.000 %;DUT 3TH
2804690090;5.500 %;DUT 3TH
2804700000;5.500 %;DUT 3TH
2804700000;5.500 %;DUT 3TH
2804709000;5.500 %;DUT 3TH
2805110000;5.000 %;DUT 3TH
2805120000;5.500 %;DUT 3TH
2805199020;4.100 %;DUT 3TH
2805199090;4.100 %;DUT 3TH
2805301040;5.500 %;DUT 3TH
2806100000;5.500 %;DUT 3TH
2807000000;3.000 %;DUT 3TH
2809200000;5.500 %;DUT 3TH
2809200010;5.500 %;DUT 3TH
2809200090;5.500 %;DUT 3TH
2810001000;0.000 %;DUT 3TH
2810009000;3.700 %;DUT 3TH
2811198010;5.300 %;DUT 3TH
2811198010;5.300 %;DUT 3TH
2811198050;5.300 %;DUT 3TH
2811198090;5.300 %;DUT 3TH
2811210000;5.500 %;DUT 3TH
2811220010;4.600 %;DUT 3TH
2811220040;4.600 %;DUT 3TH
2811220090;4.600 %;DUT 3TH
2811293000;5.000 %;DUT 3TH
2811299000;5.300 %;DUT 3TH
2811299090;5.300 %;DUT 3TH
2812900010;5.500 %;DUT 3TH
2812900090;5.500 %;DUT 3TH
2814100000;5.500 %;DUT 3TH
2814100000;5.500 %;DUT 3TH
2815110000;5.500 %;DUT 3TH
2815200000;5.500 %;DUT 3TH
2816100000;4.100 %;DUT 3TH
2817000000;5.500 %;DUT 3TH
2817000000;5.500 %;DUT 3TH
2818101100;5.200 %;DUT 3TH
2818101110;5.200 %;DUT 3TH
2818101190;5.200 %;DUT 3TH
2818101900;5.200 %;DUT 3TH
2818109190;5.200 %;DUT 3TH
2818109900;5.200 %;DUT 3TH
2818200010;4.000 %;DUT 3TH
2818200090;4.000 %;DUT 3TH
2818300090;0.000 %;DUT 3TH
2818300090;5.500 %;DUT 3TH
2819909000;5.500 %;DUT 3TH
2819909090;5.500 %;DUT 3TH
2819909090;5.500 %;DUT 3TH
2820909000;5.500 %;DUT 3TH
2821100000;4.600 %;DUT 3TH
2821200000;4.600 %;DUT 3TH
2823000000;5.500 %;DUT 3TH
2823000010;5.500 %;DUT 3TH
2823000085;5.500 %;DUT 3TH
2823000090;5.500 %;DUT 3TH
2825200000;5.300 %;DUT 3TH
2825200010;5.300 %;DUT 3TH
2825200090;5.300 %;DUT 3TH
2825400000;0.000 %;DUT 3TH
2825600010;5.500 %;DUT 3TH
2825600090;5.500 %;DUT 3TH
2825902000;5.300 %;DUT 3TH
2825908590;5.500 %;DUT 3TH
2826191000;5.500 %;DUT 3TH
2826199000;5.300 %;DUT 3TH
2826199090;5.300 %;DUT 3TH
2826300000;5.500 %;DUT 3TH
2826908000;5.500 %;DUT 3TH
2826908000;5.500 %;DUT 3TH
2826908090;5.500 %;DUT 3TH
2827100000;5.500 %;DUT 3TH
2827200000;4.600 %;DUT 3TH
2827320000;5.500 %;DUT 3TH
2827391000;4.100 %;DUT 3TH
2827392000;2.100 %;DUT 3TH
2827398590;5.500 %;DUT 3TH
2827499090;5.300 %;DUT 3TH
2827510000;5.500 %;DUT 3TH
2827590000;5.500 %;DUT 3TH
2828100000;5.500 %;DUT 3TH
2828100010;5.500 %;DUT 3TH
2828100090;5.500 %;DUT 3TH
2829908000;5.500 %;DUT 3TH
2832100000;5.500 %;DUT 3TH
2832200000;5.500 %;DUT 3TH
2833190000;5.500 %;DUT 3TH
2833210000;5.500 %;DUT 3TH
2833220000;0.000 %;DUT 3TH
2833220000;5.500 %;DUT 3TH
2833250000;3.200 %;DUT 3TH
2833292000;5.500 %;DUT 3TH
2833293000;5.300 %;DUT 3TH
2833298000;5.000 %;DUT 3TH
2833298020;5.000 %;DUT 3TH
2833298040;5.000 %;DUT 3TH
2833300000;5.500 %;DUT 3TH
2833400000;5.500 %;DUT 3TH
2834100000;5.500 %;DUT 3TH
2835100010;5.500 %;DUT 3TH
2835100020;5.500 %;DUT 3TH
2835100090;5.500 %;DUT 3TH
2835220000;5.500 %;DUT 3TH
2835240000;5.500 %;DUT 3TH
2835250000;5.500 %;DUT 3TH
2835260000;5.500 %;DUT 3TH
2835260000;5.500 %;DUT 3TH
2835299000;5.500 %;DUT 3TH
2835310000;5.500 %;DUT 3TH
2835390000;5.500 %;DUT 3TH
2836200000;5.500 %;DUT 3TH
2836300000;5.500 %;DUT 3TH
2836400000;5.500 %;DUT 3TH
2836500000;5.000 %;DUT 3TH
2836910020;5.500 %;DUT 3TH
2836910020;5.500 %;DUT 3TH
2836910090;5.500 %;DUT 3TH
2836991100;3.700 %;DUT 3TH
2836991700;5.500 %;DUT 3TH
2836991730;5.500 %;DUT 3TH
2836991780;5.500 %;DUT 3TH
2836999000;5.500 %;DUT 3TH
2839110000;5.000 %;DUT 3TH
2839190090;5.000 %;DUT 3TH
2839900020;5.000 %;DUT 3TH
2839900020;5.000 %;DUT 3TH
2839900090;5.000 %;DUT 3TH
2840110000;0.000 %;DUT 3TH
2840199000;5.300 %;DUT 3TH
2840201000;0.000 %;DUT 3TH
2840201000;0.000 %;DUT 3TH
2840209010;5.300 %;DUT 3TH
2840209090;5.300 %;DUT 3TH
2840300000;5.500 %;DUT 3TH
2841610000;5.500 %;DUT 3TH
2841700000;5.500 %;DUT 3TH
2841700090;5.500 %;DUT 3TH
2841700090;5.500 %;DUT 3TH
2841908590;5.500 %;DUT 3TH
2842100090;0.000 %;DUT 3TH
2842100090;5.500 %;DUT 3TH
2842908080;0.000 %;DUT 3TH
2842908080;5.500 %;DUT 3TH
2844103000;0.000 %;DUT 3TH
2844105000;0.000 %;DUT 3TH
2844203500;0.000 %;DUT 3TH
2844205900;0.000 %;DUT 3TH
2844209900;0.000 %;DUT 3TH
2844301900;2.900 %;DUT 3TH
2844306900;0.000 %;DUT 3TH
2844401000;0.000 %;DUT 3TH
2844408000;0.000 %;DUT 3TH
2845909090;0.000 %;DUT 3TH
2845909090;5.500 %;DUT 3TH
2846909000;3.200 %;DUT 3TH
2847000000;5.500 %;DUT 3TH
2849200000;5.500 %;DUT 3TH
2849901000;4.100 %;DUT 3TH
2850002090;4.600 %;DUT 3TH
2850006000;5.500 %;DUT 3TH
2852100000;0.000 %;DUT 3TH
2852100000;5.500 %;DUT 3TH
2853100000;5.500 %;DUT 3TH
2853901000;2.700 %;DUT 3TH
2853903000;4.100 %;DUT 3TH
2853909000;5.500 %;DUT 3TH
2853909090;5.500 %;DUT 3TH
2901100000;0.000 %;DUT 3TH
2901210000;0.000 %;DUT 3TH
2901220000;0.000 %;DUT 3TH
2901240000;0.000 %;DUT 3TH
2901290000;0.000 %;DUT 3TH
2902190000;0.000 %;DUT 3TH
2902410000;0.000 %;DUT 3TH
2902900000;0.000 %;DUT 3TH
2903110000;5.500 %;DUT 3TH
2903150000;5.500 %;DUT 3TH
2903190000;5.500 %;DUT 3TH
2903290000;5.500 %;DUT 3TH
2903290000;5.500 %;DUT 3TH
2903290000;5.500 %;DUT 3TH
2903392100;5.500 %;DUT 3TH
2903392400;5.500 %;DUT 3TH
2903392410;5.500 %;DUT 3TH
2903392490;5.500 %;DUT 3TH
2903392600;5.500 %;DUT 3TH
2903392690;5.500 %;DUT 3TH
2903392700;5.500 %;DUT 3TH
2903392810;5.500 %;DUT 3TH
2903392820;5.500 %;DUT 3TH
2903392890;0.000 %;DUT 3TH
2903392890;5.500 %;DUT 3TH
2903393100;5.500 %;DUT 3TH
2903393990;5.500 %;DUT 3TH
2903398000;5.500 %;DUT 3TH
2903420000;5.500 %;DUT 3TH
2903450000;5.500 %;DUT 3TH
2903450010;5.500 %;DUT 3TH
2903450020;5.500 %;DUT 3TH
2903450030;5.500 %;DUT 3TH
2903493020;5.500 %;DUT 3TH
2903499090;5.500 %;DUT 3TH
2903510000;5.500 %;DUT 3TH
2903510090;5.500 %;DUT 3TH
2903610000;5.500 %;DUT 3TH
2903710000;5.500 %;DUT 3TH
2903779090;5.500 %;DUT 3TH
2903898060;5.500 %;DUT 3TH
2903998050;5.500 %;DUT 3TH
2903998090;0.000 %;DUT 3TH
2903998090;5.500 %;DUT 3TH
2904100090;0.000 %;DUT 3TH
2904100090;5.500 %;DUT 3TH
2904200000;5.500 %;DUT 3TH
2904990090;0.000 %;DUT 3TH
2904990090;5.500 %;DUT 3TH
2905110090;5.500 %;DUT 3TH
2905120000;5.500 %;DUT 3TH
2905120010;5.500 %;DUT 3TH
2905120090;5.500 %;DUT 3TH
