gn_code;douanerecht;type_duty
0307321000;10.000 %;DUT 3TH
0307329000;8.000 %;DUT 3TH
0307432900;8.000 %;DUT 3TH
0307433100;6.000 %;DUT 3TH
0307433800;6.000 %;DUT 3TH
0307439290;8.000 %;DUT 3TH
0307439931;11.000 %;DUT 3TH
0307439990;11.000 %;DUT 3TH
0307492000;8.000 %;DUT 3TH
0307494090;6.000 %;DUT 3TH
0307520000;8.000 %;DUT 3TH
0307590090;8.000 %;DUT 3TH
0307600000;0.000 %;DUT 3TH
0307920000;11.000 %;DUT 3TH
0307920090;11.000 %;DUT 3TH
0307990000;11.000 %;DUT 3TH
0308905000;11.000 %;DUT 3TH
0309900000;11.000 %;DUT 3TH
0401109000;12.900 EUR DTN;DUT 3TH
0401201100;18.800 EUR DTN;DUT 3TH
0401503100;110.000 EUR DTN;DUT 3TH
0401503900;109.100 EUR DTN;DUT 3TH
0401509900;182.800 EUR DTN;DUT 3TH
0402109100;1.190 EUR KGM P + 27.500 EUR DTN;DUT 3TH
0402109900;1.190 EUR KGM P + 21.000 EUR DTN;DUT 3TH
0402211800;130.400 EUR DTN;DUT 3TH
0402219900;161.900 EUR DTN;DUT 3TH
0402291500;1.310 EUR KGM P + 22.000 EUR DTN;DUT 3TH
0402911000;34.700 EUR DTN;DUT 3TH
0403201100;20.500 EUR DTN;DUT 3TH
0403209100;8.300 % + 12.400 EUR DTN;DUT 3TH
0403209300;8.300 % + 17.100 EUR DTN;DUT 3TH
0404100200;7.000 EUR DTN;DUT 3TH
0404100400;135.700 EUR DTN;DUT 3TH
0404101200;100.400 EUR DTN;DUT 3TH
0404108400;1.620 EUR KGM P + 22.000 EUR DTN;DUT 3TH
0404908390;1.310 EUR KGM P + 22.000 EUR DTN;DUT 3TH
0404908900;1.620 EUR KGM P + 22.000 EUR DTN;DUT 3TH
0405101100;189.600 EUR DTN;DUT 3TH
0405101900;189.600 EUR DTN;DUT 3TH
0405103000;189.600 EUR DTN;DUT 3TH
0405109000;231.300 EUR DTN;DUT 3TH
0405201000;9.000 % + EA;DUT 3TH
0405203000;9.000 % + EA;DUT 3TH
0405901000;231.300 EUR DTN;DUT 3TH
0405909000;231.300 EUR DTN;DUT 3TH
0406103010;185.200 EUR DTN;DUT 3TH
0406105000;185.200 EUR DTN;DUT 3TH
0406108000;221.200 EUR DTN;DUT 3TH
0406200000;188.200 EUR DTN;DUT 3TH
0406303100;139.100 EUR DTN;DUT 3TH
0406309000;215.000 EUR DTN;DUT 3TH
0406401000;140.900 EUR DTN;DUT 3TH
0406409000;140.900 EUR DTN;DUT 3TH
0406900100;167.100 EUR DTN;DUT 3TH
0406901500;171.700 EUR DTN;DUT 3TH
0406902900;151.000 EUR DTN;DUT 3TH
0406903200;151.000 EUR DTN;DUT 3TH
0406906100;188.200 EUR DTN;DUT 3TH
0406907900;151.000 EUR DTN;DUT 3TH
0406908100;151.000 EUR DTN;DUT 3TH
0406908600;151.000 EUR DTN;DUT 3TH
0406908900;151.000 EUR DTN;DUT 3TH
0406909200;151.000 EUR DTN;DUT 3TH
0406909300;185.200 EUR DTN;DUT 3TH
0406909900;221.200 EUR DTN;DUT 3TH
0407191900;35.000 EUR MIL;DUT 3TH
0408198100;62.000 EUR DTN;DUT 3TH
0409000000;17.300 %;DUT 3TH
0410000000;7.700 %;DUT 3TH
0504000010;0.000 %;DUT 3TH
0504000090;0.000 %;DUT 3TH
0506100000;0.000 %;DUT 3TH
0506900000;0.000 %;DUT 3TH
0507900000;0.000 %;DUT 3TH
0508000090;0.000 %;DUT 3TH
0508009000;0.000 %;DUT 3TH
0508009090;0.000 %;DUT 3TH
0510000000;0.000 %;DUT 3TH
0511911000;0.000 %;DUT 3TH
0511919000;0.000 %;DUT 3TH
0511993100;0.000 %;DUT 3TH
0511993900;5.100 %;DUT 3TH
0511998500;0.000 %;DUT 3TH
0511998520;0.000 %;DUT 3TH
0511998590;0.000 %;DUT 3TH
0601104000;5.100 %;DUT 3TH
0601109000;5.100 %;DUT 3TH
0601209000;6.400 %;DUT 3TH
0601209010;6.400 %;DUT 3TH
0601209090;6.400 %;DUT 3TH
0602202000;8.300 %;DUT 3TH
0602203000;8.300 %;DUT 3TH
0602208000;8.300 %;DUT 3TH
